title,year,rating,actors,duration,url
49th Parallel,1941,7.3,"['Leslie Howard', ' Laurence Olivier', ' Raymond Massey', ' Anton Walbrook']",123,https://www.imdb.com/title/tt0033627/
High Sierra,1941,7.5,"['Ida Lupino', ' Humphrey Bogart', ' Alan Curtis', ' Arthur Kennedy']",100,https://www.imdb.com/title/tt0033717/
Man Hunt,1941,7.3,"['Walter Pidgeon', ' Joan Bennett', ' George Sanders', ' John Carradine']",105,https://www.imdb.com/title/tt0033873/
The Wolf Man,1941,7.3,"['Claude Rains', ' Warren William', ' Ralph Bellamy', ' Patric Knowles']",70,https://www.imdb.com/title/tt0034398/
Detective tegen wil en dank,1941,7.3,"['William Powell', ' Myrna Loy', ' Barry Nelson', ' Donna Reed']",97,https://www.imdb.com/title/tt0034172/
Sullivan's Travels,1941,7.9,"['Joel McCrea', ' Veronica Lake', ' Robert Warwick', ' William Demarest']",90,https://www.imdb.com/title/tt0034240/
The Maltese Falcon,1941,8.0,"['Humphrey Bogart', ' Mary Astor', ' Gladys George', ' Peter Lorre']",100,https://www.imdb.com/title/tt0033870/
Spionnage in het spel,1942,8.2,"['Carole Lombard', ' Jack Benny', ' Robert Stack', ' Felix Bressart']",99,https://www.imdb.com/title/tt0035446/
Gevangenen van 't verleden,1942,8.0,"['Ronald Colman', ' Greer Garson', ' Philip Dorn', ' Susan Peters']",126,https://www.imdb.com/title/tt0035238/
"Now, Voyager",1942,7.9,"['Bette Davis', ' Paul Henreid', ' Claude Rains', ' Gladys Cooper']",117,https://www.imdb.com/title/tt0035140/
Het gesprek van de stad,1942,7.5,"['Cary Grant', ' Jean Arthur', ' Ronald Colman', ' Edgar Buchanan']",118,https://www.imdb.com/title/tt0035417/
The Palm Beach Story,1942,7.5,"['Claudette Colbert', ' Joel McCrea', ' Mary Astor', ' Rudy Vallee']",88,https://www.imdb.com/title/tt0035169/
Casablanca,1942,8.5,"['Humphrey Bogart', ' Ingrid Bergman', ' Paul Henreid', ' Claude Rains']",102,https://www.imdb.com/title/tt0034583/
The Ox-Bow Incident,1942,8.0,"['Henry Fonda', ' Dana Andrews', ' Mary Beth Hughes', ' Anthony Quinn']",75,https://www.imdb.com/title/tt0036244/
The Man Who Came to Dinner,1942,7.6,"['Bette Davis', ' Ann Sheridan', ' Monty Woolley', ' Richard Travis']",112,https://www.imdb.com/title/tt0033874/
Cat People,1942,7.3,"['Simone Simon', ' Tom Conway', ' Kent Smith', ' Jane Randolph']",73,https://www.imdb.com/title/tt0034587/
Mrs. Miniver,1942,7.6,"['Greer Garson', ' Walter Pidgeon', ' Teresa Wright', ' May Whitty']",134,https://www.imdb.com/title/tt0035093/
De wreker,1942,7.4,"['Alan Ladd', ' Veronica Lake', ' Robert Preston', ' Laird Cregar']",81,https://www.imdb.com/title/tt0035432/
The Major and the Minor,1942,7.4,"['Ginger Rogers', ' Ray Milland', ' Rita Johnson', ' Robert Benchley']",100,https://www.imdb.com/title/tt0035019/
Holiday Inn,1942,7.4,"['Bing Crosby', ' Fred Astaire', ' Marjorie Reynolds', ' Virginia Dale']",100,https://www.imdb.com/title/tt0034862/
Yankee Doodle Dandy,1942,7.7,"['James Cagney', ' Joan Leslie', ' Walter Huston', ' Richard Whorf']",126,https://www.imdb.com/title/tt0035575/
De afgod van het volk,1942,7.7,"['Gary Cooper', ' Teresa Wright', ' Babe Ruth', ' Walter Brennan']",128,https://www.imdb.com/title/tt0035211/
The Magnificent Ambersons,1942,7.7,"['Tim Holt', ' Joseph Cotten', ' Dolores Costello', ' Anne Baxter']",88,https://www.imdb.com/title/tt0035015/
Bambi,1942,7.3,"['Hardie Albright', ' Stan Alexander', ' Bobette Audrey', ' Peter Behn']",70,https://www.imdb.com/title/tt0034492/
Shadow of a Doubt,1943,7.8,"['Teresa Wright', ' Joseph Cotten', ' Macdonald Carey', ' Henry Travers']",108,https://www.imdb.com/title/tt0036342/
Arsenicum en oude kant,1943,8.0,"['Cary Grant', ' Priscilla Lane', ' Raymond Massey', ' Jack Carson']",118,https://www.imdb.com/title/tt0036613/
The Miracle of Morgan's Creek,1943,7.6,"['Eddie Bracken', ' Betty Hutton', ' Diana Lynn', ' William Demarest']",98,https://www.imdb.com/title/tt0037077/
Jane Eyre,1943,7.5,"['Orson Welles', ' Joan Fontaine', ' Margaret OBrien', ' Peggy Ann Garner']",97,https://www.imdb.com/title/tt0036969/
Hoe meer hoe liever,1943,7.7,"['Jean Arthur', ' Joel McCrea', ' Charles Coburn', ' Richard Gaines']",104,https://www.imdb.com/title/tt0036172/
Het lied van Bernadette,1943,7.6,"['Jennifer Jones', ' Charles Bickford', ' William Eythe', ' Vincent Price']",156,https://www.imdb.com/title/tt0036377/
Ossessione,1943,7.6,"['Clara Calamai', ' Massimo Girotti', ' Dhia Cristiani', ' Elio Marcuzzo']",140,https://www.imdb.com/title/tt0035160/
Heaven Can Wait,1943,7.4,"['Gene Tierney', ' Don Ameche', ' Charles Coburn', ' Marjorie Main']",112,https://www.imdb.com/title/tt0035979/
