title,year,rating,actors,duration,url
Sweet Bird of Youth,1962,7.3,"['Paul Newman', ' Geraldine Page', ' Shirley Knight', ' Ed Begley']",120,https://www.imdb.com/title/tt0056541/
De stem in het duister,1962,7.3,"['Glenn Ford', ' Lee Remick', ' Stefanie Powers', ' Roy Poole']",123,https://www.imdb.com/title/tt0055972/
Zatôichi monogatari,1962,7.6,"['Shintarô Katsu', ' Masayo Banri', ' Ryûzô Shimada', ' Hajime Mitamura']",96,https://www.imdb.com/title/tt0056714/
Vivre sa vie: Film en douze tableaux,1962,8.0,"['Anna Karina', ' Sady Rebbot', ' André S Labarthe', ' Guylaine Schlumberger']",80,https://www.imdb.com/title/tt0056663/
Eenzaam zijn de ontembaren,1962,7.6,"['Kirk Douglas', ' Gena Rowlands', ' Walter Matthau', ' Michael Kane']",107,https://www.imdb.com/title/tt0056195/
Hud,1963,7.8,"['Paul Newman', ' Melvyn Douglas', ' Patricia Neal', ' Brandon De Wilde']",112,https://www.imdb.com/title/tt0057163/
America America,1963,7.8,"['Stathis Giallelis', ' Frank Wolff', ' Elena Karam', ' Harry Davis']",174,https://www.imdb.com/title/tt0056825/
Les tontons flingueurs,1963,7.8,"['Lino Ventura', ' Bernard Blier', ' Francis Blanche', ' Claude Rich']",105,https://www.imdb.com/title/tt0057591/
Ieri oggi domani,1963,7.3,"['Sophia Loren', ' Marcello Mastroianni', ' Aldo Giuffrè', ' Agostino Salvietti']",117,https://www.imdb.com/title/tt0057171/
Murder at the Gallop,1963,7.3,"['Margaret Rutherford', ' Stringer Davis', ' Robert Morley', ' Flora Robson']",81,https://www.imdb.com/title/tt0057334/
Fail Safe,1964,8.0,"['Henry Fonda', ' Walter Matthau', ' Fritz Weaver', ' Dan OHerlihy']",112,https://www.imdb.com/title/tt0058083/
Onibaba,1964,8.0,"['Nobuko Otowa', ' Jitsuko Yoshimura', ' Kei Satô', ' Jûkichi Uno']",103,https://www.imdb.com/title/tt0058430/
Kaidan,1964,8.0,"['Rentarô Mikuni', ' Michiyo Aratama', ' Misako Watanabe', ' Kenjirô Ishiyama']",183,https://www.imdb.com/title/tt0058279/
De trein,1964,7.8,"['Burt Lancaster', ' Paul Scofield', ' Jeanne Moreau', ' Suzanne Flon']",133,https://www.imdb.com/title/tt0059825/
Zulu,1964,7.7,"['Stanley Baker', ' Jack Hawkins', ' Ulla Jacobsson', ' James Booth']",138,https://www.imdb.com/title/tt0058777/
Akahige,1965,8.4,"['Toshirô Mifune', ' Yûzô Kayama', ' Tsutomu Yamazaki', ' Reiko Dan']",185,https://www.imdb.com/title/tt0058888/
The Flight of the Phoenix,1965,7.5,"['James Stewart', ' Richard Attenborough', ' Peter Finch', ' Hardy Krüger']",142,https://www.imdb.com/title/tt0059183/
Guide,1965,8.4,"['Dev Anand', ' Waheeda Rehman', ' Leela Chitnis', ' Anwar Hussain']",183,https://www.imdb.com/title/tt0059246/
Doctor Zhivago,1965,8.0,"['Omar Sharif', ' Julie Christie', ' Geraldine Chaplin', ' Rod Steiger']",197,https://www.imdb.com/title/tt0059113/
A Patch of Blue,1965,8.0,"['Sidney Poitier', ' Shelley Winters', ' Elizabeth Hartman', ' Wallace Ford']",105,https://www.imdb.com/title/tt0059573/
Dai-bosatsu tôge,1966,8.0,"['Tatsuya Nakadai', ' Michiyo Aratama', ' Yûzô Kayama', ' Yôko Naitô']",120,https://www.imdb.com/title/tt0060277/
Tanin no kao,1966,8.0,"['Tatsuya Nakadai', ' Mikijirô Hira', ' Kyôko Kishida', ' Miki Irie']",122,https://www.imdb.com/title/tt0061065/
Wie is bang voor Virginia Woolf?,1966,8.0,"['Elizabeth Taylor', ' Richard Burton', ' George Segal', ' Sandy Dennis']",131,https://www.imdb.com/title/tt0061184/
Au hasard Balthazar,1966,7.9,"['Anne Wiazemsky', ' Walter Green', ' François Lafarge', ' JeanClaude Guilbert']",95,https://www.imdb.com/title/tt0060138/
Tot de laatste gangster,1966,7.9,"['Lino Ventura', ' Paul Meurisse', ' Raymond Pellegrin', ' Christine Fabréga']",150,https://www.imdb.com/title/tt0060305/
De Nacht van Inspecteur Tibbs,1967,7.9,"['Sidney Poitier', ' Rod Steiger', ' Warren Oates', ' Lee Grant']",110,https://www.imdb.com/title/tt0061811/
Playtime,1967,7.9,"['Jacques Tati', ' Barbara Dennek', ' Rita Maiden', ' France Rumilly']",155,https://www.imdb.com/title/tt0062136/
The Dirty Dozen,1967,7.7,"['Lee Marvin', ' Ernest Borgnine', ' Charles Bronson', ' John Cassavetes']",150,https://www.imdb.com/title/tt0061578/
Cool Hand Luke,1967,8.1,"['Paul Newman', ' George Kennedy', ' Strother Martin', ' JD Cannon']",127,https://www.imdb.com/title/tt0061512/
Le samouraï,1967,8.1,"['Alain Delon', ' François Périer', ' Nathalie Delon', ' Cathy Rosier']",105,https://www.imdb.com/title/tt0062229/
Leeuw in de winter,1968,7.9,"['Peter OToole', ' Katharine Hepburn', ' Anthony Hopkins', ' John Castle']",134,https://www.imdb.com/title/tt0063227/
The Odd Couple,1968,7.7,"['Jack Lemmon', ' Walter Matthau', ' John Fiedler', ' Herb Edelman']",105,https://www.imdb.com/title/tt0063374/
Yabu no naka no kuroneko,1968,7.7,"['Kichiemon Nakamura', ' Nobuko Otowa', ' Kei Satô', ' Rokkô Toura']",99,https://www.imdb.com/title/tt0122136/
Targets,1968,7.4,"['Tim OKelly', ' Boris Karloff', ' Arthur Peterson', ' Monte Landis']",90,https://www.imdb.com/title/tt0063671/
